match_id,competition,competition_code,utc_date,status,home_team,away_team,home_score,away_score
564678,Primera Division,PD,2026-09-15T17:00:00Z,TIMED,Rayo Vallecano de Madrid,RCD Espanyol de Barcelona,,
564680,Primera Division,PD,2026-09-15T18:00:00Z,TIMED,Deportivo Alavés,Valencia CF,,
564681,Primera Division,PD,2026-09-15T19:30:00Z,TIMED,Elche CF,Real Madrid CF,,
564684,Primera Division,PD,2026-09-16T17:00:00Z,TIMED,Club Atlético de Madrid,CA Osasuna,,
564679,Primera Division,PD,2026-09-16T17:00:00Z,TIMED,RC Deportivo La Coruña,Sevilla FC,,
564687,Primera Division,PD,2026-09-16T19:30:00Z,TIMED,FC Barcelona,Real Racing Club de Santander,,
564685,Primera Division,PD,2026-09-16T19:30:00Z,TIMED,Levante UD,Athletic Club,,
