match_id,competition,competition_code,utc_date,status,home_team,away_team,home_score,away_score
564684,Primera Division,PD,2026-09-16T17:00:00Z,TIMED,Club Atlético de Madrid,CA Osasuna,,
564679,Primera Division,PD,2026-09-16T17:00:00Z,TIMED,RC Deportivo La Coruña,Sevilla FC,,
564685,Primera Division,PD,2026-09-16T19:30:00Z,TIMED,Levante UD,Athletic Club,,
564687,Primera Division,PD,2026-09-16T19:30:00Z,TIMED,FC Barcelona,Real Racing Club de Santander,,
564686,Primera Division,PD,2026-09-17T17:00:00Z,TIMED,Real Betis Balompié,Getafe CF,,
564683,Primera Division,PD,2026-09-17T19:30:00Z,TIMED,Málaga CF,Villarreal CF,,
