match_id,competition,competition_code,utc_date,status,home_team,away_team,home_score,away_score
564686,Primera Division,PD,2026-09-17T17:00:00Z,TIMED,Real Betis Balompié,Getafe CF,,
564683,Primera Division,PD,2026-09-17T19:30:00Z,TIMED,Málaga CF,Villarreal CF,,
565804,Bundesliga,BL1,2026-09-18T18:30:00Z,TIMED,FC Bayern München,1. FC Union Berlin,,
558596,Serie A,SA,2026-09-18T18:45:00Z,TIMED,AC Monza,US Sassuolo Calcio,,
559682,Ligue 1,FL1,2026-09-18T18:45:00Z,TIMED,AS Monaco FC,Racing Club de Lens,,
560591,Premier League,PL,2026-09-18T19:00:00Z,TIMED,Brentford FC,Chelsea FC,,
564692,Primera Division,PD,2026-09-18T19:00:00Z,TIMED,RCD Espanyol de Barcelona,Elche CF,,
